Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
NALCO® 7330;5-kloro-2-metüül-2H-isotiasool-3-ooni (EINECS 247-500-7) ja 2-metüül-2H- isotiasool-3-ooni (EINECS 220-239-6) segu (CMIT/MIT segu);55965-84-9;Tooteliik 6,11,12;1.07.2020;Nalco Polska Sp. Z.o.o;"11,62 g/kg; Alates 19.05.2017; 15 g/kg (1,5%);";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
NALCO® 73500;Glutaraal (glutaaraldehüüd);111-30-8;"Tooteliik 2,11,12; Alates 30.06.2017; Tooteliik 6, 11, 12";1.10.2019;Nalco Polska Sp. Z.o.o;0,24;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
NALCO® WT-730;5-kloro-2-metüül-2H-isotiasool-3-ooni (EINECS 247-500-7) ja 2-metüül-2H- isotiasool-3-ooni (EINECS 220-239-6) segu (CMIT/MIT segu);55965-84-9;Tooteliik 6,11,12;1.07.2020;Nalco Polska Sp. Z.o.o;"11,62 g/kg; Alates 19.05.2017; 15 g/kg (1,5%);";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
NALCO® WT-407;Glutaraal (glutaaraldehüüd);111-30-8;"Tooteliik 2,11,12; Alates 30.06.2017; Tooteliik 6, 11, 12";1.10.2019;Nalco Polska Sp. Z.o.o;0,24;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
F 11 SOFTSAN;N-C12–14(paarisarvulised)-alküültrimetüleendiamiinide ja kloroäädikhappe reaktsiooni saadused (amfolüüt 20);139734-65-9;Tooteliik 2, 3, 4;1.01.2021;KiiltoClean OY;0,01;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/1083"
Divosan Mezzo;"1) Vesinikperoksiid; 2) Peräädikhape";"1) 7722-84-1; 2) 79-21-0";Tooteliik 2, 3, 4;1.10.2020;Diversey Polska Sp. z.o.o.;"1) 19%; 2) 2,5%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6)"
"Cillit Bang Power Cleaner Whitening & Disinfection; Alates 16.08.2019; CILLIT BANG HYGIENE & SHINE";Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;SIA Reckitt Benckiser (Latvia);4,5 g/100g;"Tavatarbijale kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
DESO SCRUB;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG) / kloorheksidiin diklükonaat;18472-51-0;Tooteliik 1;31.12.2024;Chemi-Pharm AS;0,04;Kutsealaseks kasutamiseks
"INTEROX AG Spray 35S; INTEROX AG Bath 35";Vesinikperoksiid;7722-84-1;Tooteliik 4;1.02.2020;Solvay Chemicals International SA;0,35;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
ZEP VENTURE ORIGINAL;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;ZEP Eesti OÜ;0,00208;Kutsealaseks kasutamiseks
OUT! Anti Insect;"1) DEET; 2) Geraniool";"1) 134-62-3; 2) 106-24-1";Tooteliik 19;31.12.2024;SIA KUBERA KERN;"1) 9%; 2) 0,1 %";"Tavatarbija; 1) Komisjoni direktiiv 2010/51/EL (TL19)"
OUT! Anti Mosquito;"1) DEET; 2) Geraniool";"1) 134-62-3; 2) 106-24-1";Tooteliik 19;31.12.2024;SIA KUBERA KERN;"1) 7%; 2) 0,1 %";"Tavatarbija; 1) Komisjoni direktiiv 2010/51/EL (TL19)"
FS AMINE Z;"1) Didetsüüldimetüülammooniumkloriid; 2) Propaan-2-ool";"1) 7173-51-5; 2) 67-63-0";Tooteliik 4;31.12.2024;ZEP Eesti OÜ;"1) 9,9%; 2) 3,96%";"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407"
Hamra Red;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1);18472-51-0;Tooteliik 3;31.12.2024;DeLaval NV;0,0042;Kutsealaseks kasutamiseks
ACTICIDE ICB 6;"1) 2-metüül-2H-isotiasool-3-oon (MIT); 2) Tsinkpüritioon; 3) 1,2-bensisotiasool-3(2H)-oon (BIT)";"1) 2682-20-4; 2) 13463-41-7; 3) 2634-33-5";Tooteliik 6;31.12.2024;Thor Specialities (UK) Limited;"1) 2,5%; 2) 2,5%; 3) 2,49%";"Tööstuslikuks kasutamiseks;"
Soft Care Med H5;"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 2) 67-63-0";Tooteliik 1;1.05.2022;Diversey Polska Sp. z.o.o.;"1) 2,92%; 2) 69,3%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2015/407"
Cillit Bang Black Mould Remover;Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;SIA Reckitt Benckiser (Latvia);2,6 g/100g;"Tavatarbijale kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
TORK Alcohol Liquid Hand Sanitizer;Etanool;64-17-5;Tooteliik 1;31.12.2024;"SCA HYGIENE PRODUCTS OÜ; Alates 22.03.2018:; Essity Estonia OÜ";0,8;Kutsealane kasutus
TORK Alcohol Gel Hand Sanitizer kutsealaseks kasutamiseks;Etanool;64-17-5;Tooteliik 1;31.12.2024;"SCA HYGIENE PRODUCTS OÜ; Alates 22.03.2018:; Essity Estonia OÜ";0,8;Kutsealane kasutus
Interspeed 5992;Vasktiotsüanaat;1111-67-7;Tooteliik 21;1.01.2021;International Paint Ltd.;0,13;"Kutsealaseks kasutumiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
Kenodin Film;Jood;7553-56-2;Tooteliik 3;1.09.2018;CID LINES NV;0,003;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) nr 94/2014"
"BROS Patareitoitel sääsetõrjuja+tablett I, ; (BROS Tablett patareitoitel sääsetõrjujale I)";"1) Transflutriin ; 2) d-alletriin";"1) 118712-89-3; 2) 231937-89-6";Tooteliik 18;31.12.2024;BROS Sp.j., Poola;"1) 47,25%; 2) 0,01%";"Tavatarbija kasutamiseks; 1) Komisjoni rakendusmäärus nr 407/2014"
impralit®-Cut-Guard(Fixiergrün, Braun);"1) Vask(II)karbonaat-vask(II)hüdroksiid (1:1); 2) N-didetsüül-N-dipolüetoksüammooniumboraat / didetsüülpolüoksetüülammooniumboraat; 3) Boorhape";"1) 12069-69-1; 2) 214710-34-6; 3) 10043-35-3";Tooteliik 8;31.12.2024;RÜTGERS Organics GmbH;"1) 2,05%; 2) 0,98%; 3) 0,8%";"Tavatarbija kasutamiseks; 1) Komisjoni direktiiv 2012/2/EL; 3) Komisjoni direktiiv 2009/94/EÜ;"
KITCHENPRO AZIDES;"1) L-(+)-piimhape; 2) C12–16-alküüldimetüülbensüülammooniumkloriid";"1) 79-33-4; 2) 68424-85-1";Tooteliik 2, 4;31.12.2024;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"1) 8%; 2) 2,45%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4);"
KITCHENPRO DES;"1) C12–16-alküüldimetüülbensüülammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68424-85-1; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"1) 7,5 %; 2) 4%";"Kutsealaseks kasutamiseks;"
KITCHENPRO DES SPECIAL;"1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68424-85-1; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"1) 0,94 %; 2) 0,8%";"Kutsealaseks kasutamiseks;"
EPICARE 5C;"1) D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 2) Didetsüüldimetüülammooniumkloriid (DDAC)";"1) 18472-51-0; 2) 7173-51-5";Tooteliik 1;31.12.2024;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"1) 0,9 %; 2) 0,9%";"Kutsealaseks kasutamiseks;"
CIF Ultra White hallituse eemaldamiseks;Naatriumhüpoklorit;7681-52-9;Tooteliik 2;1.01.2022;Unilever Polska Sp. z o.o.;0,047;"Tavatarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Deosan Deogen AG301.1;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;Diversey Polska Sp. z.o.o.;0,0675;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Fennocide BZ26;"1) 2,2-dibromo-2-tsüanoatseetamiid (DBNPA); 2) Bronopool; 3) 5-kloro-2-metüül-2H-isotiasool-3-ooni (EINECS 247-500-7) ja 2-metüül-2H- isotiasool-3-ooni (EINECS 220-239-6) segu (CMIT/MIT segu)";"1) 10222-01-2; 2) 52-51-7; 3) 55965-84-9";Tooteliik 12;31.12.2024;Kemira Oyj;"1) 12%; 2) 10%; 3) 1,39%";"Tööstuslikuks kasutamiseks; 3) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
"DEXON-100; Alates 10.10.2017:; DEXON-SUPER";Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat);70693-62-8;Tooteliik 2, 3, 4;31.12.2024;"Interchemie werken “De Adelaar” Eesti AS; Alates 10.10.2017:; Interchemie werken De Adelaar Eesti AS";0,5;Tavatarbija ja kutsealaseks kasutamiseks
Raid Multi insect aerosol;"1) 1R-trans-fenotriin; 2) Pralletriin";"1) 26046-85-5; 2) 23031-36-9";Tooteliik 18;31.12.2024;OY Transmeri Ab;"1) 1,25 g/kg; 2) 1,0 g/kg";Tavatarbija kasutamiseks
Raid House insect aerosol;"1) 1R-trans-fenotriin; 2) Pralletriin";"1) 26046-85-5; 2) 23031-36-9";Tooteliik 18;31.12.2024;OY Transmeri Ab;"1) 1,25 g/kg; 2) 1,0 g/kg";Tavatarbija kasutamiseks
Raid Ant & Cockroach insect aerosol;"1) Imiprotriin; 2) Tsüpermetriin";"1) 72963-72-5; 2) 52315-07-8";Tooteliik 18;1.06.2020;OY Transmeri Ab;"1) 1,0 g/kg; 2) 1,0 g/kg";"Tavatarbija kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2326 (TL 18); 2) Komisjoni rakendusmäärus (EL) 2018/1130"
Calgodip green;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG);18472-51-0;Tooteliik 3;31.12.2024;Calvatis GmbH;3,5 g/kg;"Kutsealaseks kasutamiseks;"
Mr.Proper 3in1 desinfitseeriv puhastusvahend erinevatele pindadele ja klaasile;"1) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)); 2) C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14))";"1) 68391-01-5; 2) 85409-23-0";Tooteliik 2;31.12.2024;Sanitex Estonia OÜ;"1) 0,05%; 2) 0,05%";"Kutsealaseks kasutamiseks;"
DEXOPHEN;"1) Klorokresool; 2) Glutaaraldehüüd; 3) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18))";"1) 59-50-7; 2) 111-30-8; 3) 68391-01-5";Tooteliik 2, 3;31.12.2024;Interchemie werken “De Adelaar” Eesti AS;"1) 10%; 2) 15%; 3) 10%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1930 (TL1, 2, 3, 6, 9); 2) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11, 12, 13)"
Cif Power & Shine antibakteriaalne puhastusvahend;C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16));68424-85-1;Tooteliik 2, 4;31.12.2024;Unilever Polska Sp. z.o.o.;0,0075;Tavatarbija
Desinfitseeriv puhastusvahend RM 732;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 4;31.12.2024;Kärcher OÜ;0,075;Kutsealaseks kasutamiseks
"Harpic Active Fresh Pine; Harpic Active Fresh Ocean Force; Harpic Active Fresh Citrus";C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16));68424-85-1;Tooteliik 2;31.12.2024;Reckitt Benckiser (Latvia) SIA;0,0029;Tarbija kasutamiseks
"HEMPEL'S ALUSAFE 7120D 19990 (must); HEMPEL'S ALUSAFE 7120D 30390 (sinine); HEMPEL'S ALUSAFE 7120D 10430 (hall)";Tsinkpüritioon;13463-41-7;Tooteliik 21;31.12.2024;Hempel A/S;56 g/l (3,9%);Tarbija ja kutseline kasutaja
"BLAKES CRUISING 7100N 19990 (must) ; BLAKES CRUISING 7100N 30390 (sinine); BLAKES CRUISING 7100N 41820 (roheline); BLAKES CRUISING 7100N 51170 (punane)";Divaskoksiid;1317-39-1;Tooteliik 21;1.01.2021;Hempel A/S;553 g/l (31,7%);"Tarbija ja kutseline kasutaja; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2016/1089"
Bochemit Plus I;"1) Tsüpermetriin; 2) Permetriin";"1) 52315-07-8; 2) 52645-53-1";Tooteliik 8;1.05.2019;BOCHEMIE a.s;"1. 1%; 2. 0,1%";"Tarbija kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 945/2013 ; Komisjoni rakendusmäärus (EL) 1090/2014"
Asepto FL-D;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;"Tooteliik 3,4 ; Alates 13.12.2018; Tooteliik 4";1.01.2022;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"5,2%; Alates 13.12.2018; 6,2 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
HealthGuard®PLB;"Alates 19.02.2016:; 1. Permetriin; 2. C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16))";"1. 52645-53-1; 2. 68424-85-1";Tooteliik 2, 18;31.12.2024;HealthGuard Corporation UK Limited;"1. 4%; 2. 22,5%;";"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) 1090/2014"
ECO-E1003-DISINFECTING AND CLEANING AGENT FOR SURFACES;"C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)) ja ; C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14))";68391-01-5 / 85409-23-0;Tooteliik 2;31.12.2024;Chemi-Pharm AS;0,07;Kutsealaseks kasutamiseks
ECO-E1006-DISINFECTING AND CLEANING AGENT FOR FLOORS;"C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)) ja ; C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14))";68391-01-5 / 85409-23-0;Tooteliik 2;31.12.2024;Chemi-Pharm AS;0,07;Kutsealaseks kasutamiseks
DM Cid Ultra;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 4;31.12.2024;CID LINES NV;"3,45 g/l; Alates 15.03.2017; 4 g/l";Kutsealaseks kasutamiseks
BOCHEMIE OPTIMAL FORTE (värvitu, pruun, roheline);"1) C 12–16 -alküüldimetüülbensüüammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin; 3) Tebukonasool; 4) Propikonasool; 5) Fenoksükarb";"1) 68424-85-1; 2) 2372-82-9; 3) 107534-96-3; 4) 60207-90-1; 5) 72490-01-8";Tooteliik 8;31.12.2024;BOCHEMIE a.s;"1) 6%; 2) 0,8%; 3) 0,6%; 4) 0,6%; 5) 0,1%";Tarbija ja kutsealaseks kasutamiseks
"Kärbse ja sääse fumigaator Biolit Plus; Kärbse ja sääse fumigaatori Biolit Plus täitevedelik";Transflutriin;118712-89-3;Tooteliik 18;1.11.2018;S.J. Johnson s.r.o;0,0088;"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) nr 407/2014; Taotlus vastastikuseks tunnustamiseks"
Divosan Trace;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 4;1.10.2020;Diversey Polska Sp. z.o.o.;"1) 5,2%; 2) 3,9%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6);"
EasyStride;"1) L-(+)-piimhape; 2) Sipelghape";"1) 79-33-4; 2) 64-18-6";Tooteliik 3;31.12.2024;DeLaval NV;"1) 11,8%; 2) 11,5%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4);"
RemmiVet (Remmi 35);"1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) Polüheksametüleenbiguaniid (PHMB); 3) Didetsüüldimetüülammooniumkloriid (DDAC)";"1) 68424-85-1; 2) 27083-27-8 / 32289-58-0; 3) 7173-51-5";Tooteliik 3;31.12.2024;BESUR OÜ;"1) 4,5%; 2) 0,9%; 3) 2%";"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2016/125 (TL2, 3, 11)"
ECO-E1001-DISINFECTANT FOR SURFACES;"1) Etanool; 2) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)) / C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14))";"1) 64-17-5; 2) 68391-01-5 / 85409-23-0";Tooteliik 2;31.12.2024;Chemi-Pharm AS;"1) 72%; 2) 0,025%";Kutsealaseks kasutamiseks
ECO-E1002-DISINFECTING WIPES FOR SURFACES;"1) Etanool; 2) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)) / C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14))";"1) 64-17-5; 2) 68391-01-5 / 85409-23-0";Tooteliik 2;31.12.2024;Chemi-Pharm AS;"1) 72%; 2) 0,025%";Kutsealaseks kasutamiseks
Mida ACTISEPT;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 4;31.12.2024;Christeyns Baltic UAB;0,015;Kutsealaseks ja tööstuslikuks kasutamiseks
Mida Chriox F2;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 4;1.10.2020;Christeyns Baltic UAB;"1) 2,4%; 2) 7,3%";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6);"
"Mida SAN 311; Alates 25.03.2019; Mida San 311 KZ";"1) Propaan-1-ool; 2) Propaan-2-ool";"1) 71-23-8; 2) 67-63-0";Tooteliik 4;1.05.2022;Christeyns Baltic UAB;"1) 52%; 2) 17,3%; Alates 25.03.2019; 1) 49 %; 2) 19,5%";"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2015/407"
"Mida SAN 320; Alates 09.08.2019:; Mida SAN 320 CH";Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Christeyns Baltic UAB;0,13;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Mida CHRIOX 15;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 4;1.10.2020;Christeyns Baltic UAB;"1) 15,3%; 2) 21,1%";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6);"
Mida SAN 309;"1) Propaan-2-ool; 2) Didetsüüldimetüülam-mooniumkloriid (DDAC); 3) Glutaraal (glutaaraldehüüd)";"1) 67-63-0; 2) 7173-51-5; 3) 111-30-8";Tooteliik 4;31.12.2024;Christeyns Baltic UAB;"1) 1,6%; 2) 4,0%; 3) 4,25%";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/407; 3) Komisjoni rakendusmäärus (EL) 2015/1759"
PUREHAND EL 85C;"1) D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG); 2) Didetsüüldimetüülammooniumkloriid (DDAC)";"1) 18472-51-0; 2) 7173-51-5";Tooteliik 1;31.12.2024;"Ecolab SIA; Alates 28.12.2017; Ecolab sp. z o.o.";"1) 0,9 %; 2) 0,9%";"Kutsealaseks kasutamiseks;"
LactiFence;L-(+)-piimhape;79-33-4;Tooteliik 3;1.05.2019;DeLaval NV;0,035;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4);"
ADF iFlush+;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 3;1.10.2020;ADF Milking Ltd;"1) 5%; 2) 14,5%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6);"
Aquabrome Regenerator;Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat);70693-62-8;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;1;Tarbija kasutamiseks
Aquabrome;Bromokloro-5,5-dimetüülimidasolidiin- 2,4-dioon (BCDMH/bromoklorodimetüülhüdantoiin);32718-18-6;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;1;Tarbija kasutamiseks
Bayrosoft;"1) Vesinikperoksiid; 2) N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer)";"1) 7722-84-1; 2) 25988-97-0";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) 32,6%; 2) 2,3%";"Komisjoni rakendusmäärus (EL) 2015/1730; Tavatarbija kasutamiseks"
Chlorifix;Naatriumdikloroisotsüanuraatdihüdraat;51580-86-0;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;1;Tarbija kasutamiseks
Chloriklar;Sümkloseen;87-90-1;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;0,55;Tarbija kasutamiseks
Chlorilong;Sümkloseen;87-90-2;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;0,92;Tarbija kasutamiseks
Complete & Easy;"1) Komponent; 1. Naatriumdikloroisotsüanuraatdihüdraat; 2. Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat); 2) Komponent; 1. N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer);";"1) 51580-86-0; 2. 70693-62-8 ; 2) 25988-97-0";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) Komponent; 1. 50%; 2. 4,5%; 2) Komponent; 1.4%;";Tarbija kasutamiseks
Desalgin;C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16));68424-85-1;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;0,22;Tarbija kasutamiseks
Desalgine Jet;N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer);25988-97-0;Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;0,225;Tarbija kasutamiseks
Monthly Set chlorine for quick-up pools up to 10 m3;"1) Komponent; 1. Naatriumdikloroisotsüanuraatdihüdraat; 2. Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat); 2) Komponent; 1. N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer);";"1) 51580-86-0; 2. 70693-62-8 ; 2) 25988-97-0";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) Komponent; 1. 50%; 2. 4,5%; 2) Komponent; 1. 4%;";Tarbija kasutamiseks
Monthly Set oxygene for quick-up pools up to 10 m3;"1) Komponent; 1. Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat); 2) Komponent; 1. N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer);";"1) 70693-62-8 ; 2) 25988-97-0";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) Komponent; 1. 100%; ; 2) Komponent; 1. 6%;";Tarbija kasutamiseks
Soft & Easy;"1) Komponent; 1. Pentakaaliumbis(peroksümonosulfaat)bis (sulfaat); 2) Komponent; 1. N-metüülmetaanamiini (EINECS 204- 697-4) ja (klorometüül)oksiraani (EINECS 203-439-8) polümeer/polümeerne kvaternaarne ammooniumkloriid (PQ-polümeer);";"1) 70693-62-8 ; 2) 25988-97-0";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) Komponent; 1. 100%; ; 2) Komponent; 1. 6%;";Tarbija kasutamiseks
Varitab;"1) Komponent; 1. Sümkloseen; 2. Naatriumtrokloseen; 2) Komponent; 1. Sümkloseen;";"1) 1. 87-90-1; 2. 2893-78-9; 2) 87-90-1";Tooteliik 2;31.12.2024;BAYROL Deutschland GmbH;"1) Komponent; 1. 57%; 2. 35%; 2) Komponent; 1. 84,5%;";Tarbija kasutamiseks
